,EntryNo_,ItemLedgerEntryNo_,Inbound,Outbound,Quantity,TrfFrom,ILEInbound,OutboundTrf,PostingDate,Link_In,Link_Out
1579,4875768,4863539,4863539,4844516,1.00000000000000000000,0,4863539|4863539,4844516|0,2021-06-04,NA,4863539
1580,4875916,4863687,4863664,4863687,-1.00000000000000000000,0,4863687|4863664,4863687|0,2021-06-04,NA,4863664
1581,4876441,4864212,4864212,4864211,1.00000000000000000000,4864130,4864212|4864212,4864211|4864130,2021-06-04,4864211|4864130,-1
1582,4876954,4864725,4864725,4864724,1.00000000000000000000,4858047,4864725|4864725,4864724|4858047,2021-06-04,4864724|4858047,-1
1583,4877330,4865099,3137268,4865099,-1.00000000000000000000,0,4865099|3137268,4865099|0,2021-06-04,NA,3137268
1584,4877360,4865129,4865095,4865129,-1.00000000000000000000,0,4865129|4865095,4865129|0,2021-06-04,NA,4865095
1585,4872576,4860350,4860350,4852033,1.00000000000000000000,0,4860350|4860350,4852033|0,2021-06-03,NA,4860350
1586,4872625,4860399,4826607,4860399,-4.00000000000000000000,0,4860399|4826607,4860399|0,2021-06-03,NA,4826607
1587,4872797,4860570,4860569,4860570,-1.00000000000000000000,0,4860570|4860569,4860570|0,2021-06-03,NA,4860569
1588,4872884,4860657,4860657,4860656,1.00000000000000000000,4860651,4860657|4860657,4860656|4860651,2021-06-03,4860656|4860651,-1
1589,4873314,4861087,4802418,4861087,-1.00000000000000000000,0,4861087|4802418,4861087|0,2021-06-03,NA,4802418
1590,4873509,4861282,4827755,4861282,-1.00000000000000000000,0,4861282|4827755,4861282|0,2021-06-03,NA,4827755
1591,4873510,4861283,4827756,4861283,-1.00000000000000000000,0,4861283|4827756,4861283|0,2021-06-03,NA,4827756
1592,4873567,4861340,4861029,4861340,-1.00000000000000000000,0,4861340|4861029,4861340|0,2021-06-03,NA,4861029
1593,4873895,4861666,4861666,4861665,1.00000000000000000000,4393485,4861666|4861666,4861665|4393485,2021-06-03,4861665|4393485,-1
1594,4873897,4861668,4861668,4861667,1.00000000000000000000,4216370,4861668|4861668,4861667|4216370,2021-06-03,4861667|4216370,-1
1595,4874118,4861889,4861731,4861889,-1.00000000000000000000,0,4861889|4861731,4861889|0,2021-06-03,NA,4861731
1596,4874199,4861970,4861812,4861970,-1.00000000000000000000,0,4861970|4861812,4861970|0,2021-06-03,NA,4861812
1597,4874984,4862755,4862755,4862754,1.00000000000000000000,4804269,4862755|4862755,4862754|4804269,2021-06-04,4862754|4804269,-1
1598,4875715,4863486,4863486,4863485,1.00000000000000000000,4617416,4863486|4863486,4863485|4617416,2021-06-04,4863485|4617416,-1
1599,4876005,4863776,4863729,4863776,-1.00000000000000000000,0,4863776|4863729,4863776|0,2021-06-04,NA,4863729
1600,4876404,4864175,4821268,4864175,-1.00000000000000000000,0,4864175|4821268,4864175|0,2021-06-04,NA,4821268
1601,4876798,4864569,4774341,4864569,-5.00000000000000000000,0,4864569|4774341,4864569|0,2021-06-04,NA,4774341
1602,4876839,4864610,4844178,4864610,-1.00000000000000000000,0,4864610|4844178,4864610|0,2021-06-04,NA,4844178
1603,4876949,4864720,4858043,4864720,-1.00000000000000000000,0,4864720|4858043,4864720|0,2021-06-04,NA,4858043
1604,4877024,4864795,4864572,4864795,-5.00000000000000000000,0,4864795|4864572,4864795|0,2021-06-04,NA,4864572
1605,4872621,4860395,4826603,4860395,-1.00000000000000000000,0,4860395|4826603,4860395|0,2021-06-03,NA,4826603
1606,4873528,4861301,4827774,4861301,-1.00000000000000000000,0,4861301|4827774,4861301|0,2021-06-03,NA,4827774
1607,4873558,4861331,4861020,4861331,-1.00000000000000000000,0,4861331|4861020,4861331|0,2021-06-03,NA,4861020
1608,4873604,4861377,4861376,4861377,-1.00000000000000000000,0,4861377|4861376,4861377|0,2021-06-03,NA,4861376
1609,4874356,4862127,4862080,4862127,-1.00000000000000000000,0,4862127|4862080,4862127|0,2021-06-03,NA,4862080
1610,4874372,4862143,4862096,4862143,-1.00000000000000000000,0,4862143|4862096,4862143|0,2021-06-03,NA,4862096
1611,4874478,4862249,4834245,4862249,-1.00000000000000000000,0,4862249|4834245,4862249|0,2021-06-03,NA,4834245
1612,4874893,4862664,4862664,4862663,1.00000000000000000000,4862662,4862664|4862664,4862663|4862662,2021-06-03,4862663|4862662,-1
1613,4875266,4863037,4861246,4863037,-1.00000000000000000000,0,4863037|4861246,4863037|0,2021-06-04,NA,4861246
1614,4875539,4863310,4863297,4863310,-1.00000000000000000000,0,4863310|4863297,4863310|0,2021-06-04,NA,4863297
1615,4875760,4863531,4863531,4844508,1.00000000000000000000,0,4863531|4863531,4844508|0,2021-06-04,NA,4863531
1616,4875795,4863566,4863548,4863566,-1.00000000000000000000,0,4863566|4863548,4863566|0,2021-06-04,NA,4863548
1617,4875931,4863702,4863701,4863702,-1.00000000000000000000,0,4863702|4863701,4863702|0,2021-06-04,NA,4863701
1618,4876613,4864384,4863528,4864384,-1.00000000000000000000,0,4864384|4863528,4864384|0,2021-06-04,NA,4863528
1619,4877019,4864790,4864790,4864789,40.00000000000000000000,4864788,4864790|4864790,4864789|4864788,2021-06-04,4864789|4864788,-1
1620,4877314,4865083,4865082,4865083,-1.00000000000000000000,0,4865083|4865082,4865083|0,2021-06-04,NA,4865082
1621,4877407,4865176,4861183,4865176,-1.00000000000000000000,0,4865176|4861183,4865176|0,2021-06-04,NA,4861183
1622,4877465,4865234,4862363,4865234,-1.00000000000000000000,0,4865234|4862363,4865234|0,2021-06-04,NA,4862363
1623,4872522,4860296,4860296,4851979,1.00000000000000000000,0,4860296|4860296,4851979|0,2021-06-03,NA,4860296
1624,4872694,4860468,4860358,4860468,-1.00000000000000000000,0,4860468|4860358,4860468|0,2021-06-03,NA,4860358
1625,4873210,4860983,4860983,4860982,1.00000000000000000000,4860979,4860983|4860983,4860982|4860979,2021-06-03,4860982|4860979,-1
1626,4873316,4861089,4802420,4861089,-1.00000000000000000000,0,4861089|4802420,4861089|0,2021-06-03,NA,4802420
1627,4873946,4861717,4861716,4861717,-1.00000000000000000000,0,4861717|4861716,4861717|0,2021-06-03,NA,4861716
1628,4874503,4862274,4862274,4862273,1.00000000000000000000,4707940,4862274|4862274,4862273|4707940,2021-06-03,4862273|4707940,-1
1629,4875406,4863177,4856385,4863177,-1.00000000000000000000,0,4863177|4856385,4863177|0,2021-06-04,NA,4856385
1630,4875604,4863375,4863375,4863374,1.00000000000000000000,4627849,4863375|4863375,4863374|4627849,2021-06-04,4863374|4627849,-1
1631,4875936,4863707,4863691,4863707,-1.00000000000000000000,0,4863707|4863691,4863707|0,2021-06-04,NA,4863691
1632,4876179,4863950,4863950,4863949,2.00000000000000000000,4863944,4863950|4863950,4863949|4863944,2021-06-04,4863949|4863944,-1
1633,4876247,4864018,4863903,4864018,-1.00000000000000000000,0,4864018|4863903,4864018|0,2021-06-04,NA,4863903
1634,4876380,4864151,4821268,4864151,-1.00000000000000000000,0,4864151|4821268,4864151|0,2021-06-04,NA,4821268
1635,4876789,4864560,4864505,4864560,-1.00000000000000000000,0,4864560|4864505,4864560|0,2021-06-04,NA,4864505
1636,4876969,4864740,4864717,4864740,-1.00000000000000000000,0,4864740|4864717,4864740|0,2021-06-04,NA,4864717
1637,4877022,4864793,4864792,4864793,-1.00000000000000000000,0,4864793|4864792,4864793|0,2021-06-04,NA,4864792
1638,4872668,4860442,4860332,4860442,-1.00000000000000000000,0,4860442|4860332,4860442|0,2021-06-03,NA,4860332
1639,4873204,4860977,4860968,4860977,-20.00000000000000000000,0,4860977|4860968,4860977|0,2021-06-03,NA,4860968
1640,4873550,4861323,4827797,4861323,-1.00000000000000000000,0,4861323|4827797,4861323|0,2021-06-03,NA,4827797
1641,4873587,4861360,4861049,4861360,-1.00000000000000000000,0,4861360|4861049,4861360|0,2021-06-03,NA,4861049
1642,4873599,4861372,4861061,4861372,-1.00000000000000000000,0,4861372|4861061,4861372|0,2021-06-03,NA,4861061
1643,4874357,4862128,4862081,4862128,-1.00000000000000000000,0,4862128|4862081,4862128|0,2021-06-03,NA,4862081
1644,4874456,4862227,4834215,4862227,-1.00000000000000000000,0,4862227|4834215,4862227|0,2021-06-03,NA,4834215
1645,4874564,4862335,4862335,4841276,1.00000000000000000000,0,4862335|4862335,4841276|0,2021-06-03,NA,4862335
1646,4875707,4863478,4863478,4863477,1.00000000000000000000,4617412,4863478|4863478,4863477|4617412,2021-06-04,4863477|4617412,-1
1647,4876304,4864075,4864040,4864075,-1.00000000000000000000,0,4864075|4864040,4864075|0,2021-06-04,NA,4864040
1648,4876566,4864337,4864101,4864337,-1.00000000000000000000,0,4864337|4864101,4864337|0,2021-06-04,NA,4864101
1649,4877057,4864827,4841155,4864827,-1.00000000000000000000,0,4864827|4841155,4864827|0,2021-06-04,NA,4841155
1650,4877261,4865030,4865030,4865029,1.00000000000000000000,4666837,4865030|4865030,4865029|4666837,2021-06-04,4865029|4666837,-1
1651,4877411,4865180,4861187,4865180,-1.00000000000000000000,0,4865180|4861187,4865180|0,2021-06-04,NA,4861187
1652,4872441,4860215,4842180,4860215,-1.00000000000000000000,0,4860215|4842180,4860215|0,2021-06-03,NA,4842180
1653,4874211,4861982,4861824,4861982,-1.00000000000000000000,0,4861982|4861824,4861982|0,2021-06-03,NA,4861824
1654,4874546,4862317,4862317,4841258,1.00000000000000000000,0,4862317|4862317,4841258|0,2021-06-03,NA,4862317
1655,4875009,4862780,4862766,4862780,-1.00000000000000000000,0,4862780|4862766,4862780|0,2021-06-04,NA,4862766
1656,4875114,4862885,4862884,4862885,-1.00000000000000000000,0,4862885|4862884,4862885|0,2021-06-04,NA,4862884
1657,4875274,4863045,4861248,4863045,-1.00000000000000000000,0,4863045|4861248,4863045|0,2021-06-04,NA,4861248
1658,4875594,4863365,4863362,4863365,-1.00000000000000000000,0,4863365|4863362,4863365|0,2021-06-04,NA,4863362
1659,4875608,4863379,4863379,4863378,1.00000000000000000000,4863373,4863379|4863379,4863378|4863373,2021-06-04,4863378|4863373,-1
1660,4875796,4863567,4863544,4863567,-1.00000000000000000000,0,4863567|4863544,4863567|0,2021-06-04,NA,4863544
1661,4876579,4864350,4864114,4864350,-1.00000000000000000000,0,4864350|4864114,4864350|0,2021-06-04,NA,4864114
1662,4876663,4864434,4864434,4864433,1.00000000000000000000,4864416,4864434|4864434,4864433|4864416,2021-06-04,4864433|4864416,-1
1663,4876829,4864600,4654401,4864600,-1.00000000000000000000,0,4864600|4654401,4864600|0,2021-06-04,NA,4654401
1664,4876891,4864662,4864645,4864662,-1.00000000000000000000,0,4864662|4864645,4864662|0,2021-06-04,NA,4864645
1665,4877020,4864791,4864637,4864791,-1.00000000000000000000,0,4864791|4864637,4864791|0,2021-06-04,NA,4864637
1666,4877055,4864825,4864824,4864825,-1.00000000000000000000,0,4864825|4864824,4864825|0,2021-06-04,NA,4864824
1667,4877420,4865189,4861196,4865189,-1.00000000000000000000,0,4865189|4861196,4865189|0,2021-06-04,NA,4861196
1668,4872570,4860344,4860344,4852027,1.00000000000000000000,0,4860344|4860344,4852027|0,2021-06-03,NA,4860344
